Method;100_mean;100_sd;300_mean;300_sd;600_mean;600_sd;1200_mean;1200_sd;1900_mean;1900_sd;2500_mean;2500_sd;3000_mean;3000_sd
CT informed ensembling;30.3;2.31;30.1;1.86;29.7;1.75;29.8;1.5;29.6;1.69;29.6;1.66;29.6;1.79
FAMD;38.2;1.56;38.6;1.28;38.3;1.24;37.6;1.09;37.4;0.851;37.3;0.64;37.2;0.689
KNN;30.9;2.38;33.2;1.84;35;1.49;36;1.46;36.4;1.44;36.9;1.47;36.9;1.33
RF;30.7;2.74;34.8;1.94;36.3;1.78;36.8;1.58;37.4;1.07;37.6;1.41;37.7;1.17
RT informed ensembling;33.4;2.42;34.4;2.34;35.7;2.19;36.9;1.31;37.3;1.8;37.7;1.42;37.9;1.3
SVM;32.4;2.49;33.7;2.01;34.3;0.917;36;0.755;36.8;0.86;37.2;0.736;37.4;0.732
WME;30;5.11;28.5;4.2;26.1;3.75;25.5;2.68;24.9;3.06;24.8;2.67;24.2;2.76
XGboost;28.8;2.04;30.9;1.69;31.2;1.31;32.5;1.87;34.2;2.19;35.7;1.69;36;1.54
